id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,25373.0,37.5,15892.0,8868.0,8746.0,2.9
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,28963.0,39.2,16707.0,7892.0,9455.0,3.05
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,68055.0,38.5,17848.0,10188.0,23646.0,2.85
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,18450.0,36.6,12041.0,7380.0,5780.0,3.18
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,41302.0,38.6,15663.0,8463.0,13133.0,3.14
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,53683.0,38.9,15485.0,9176.0,17594.0,2.96
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,29153.0,35.5,14673.0,7734.0,9000.0,3.22
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,7867.0,34.2,12612.0,7229.0,2877.0,2.71
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,26540.0,43.6,101924.0,50115.0,9556.0,2.76
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5768.0,46.0,130302.0,62077.0,2071.0,2.73
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,10174.0,40.5,79732.0,33995.0,3697.0,2.75
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9246.0,43.3,106250.0,42473.0,3278.0,2.81
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,9934.0,44.7,124712.0,60270.0,3558.0,2.78
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,20722.0,35.0,80235.0,33466.0,7564.0,2.72
20,07481,WYCKOFF,NJ,"WYCKOFF, NJ",New Jersey,40.99,-74.16,16807.0,44.1,142128.0,68209.0,5815.0,2.84
21,10451,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,47069.0,31.2,26754.0,14629.0,17529.0,2.67
22,10452,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,74931.0,30.4,25979.0,13019.0,24701.0,3.0
23,10453,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,79793.0,30.7,25470.0,12616.0,25624.0,3.04
24,10454,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,38089.0,29.3,20232.0,11561.0,12467.0,2.98
25,10455,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,38576.0,28.7,22609.0,12231.0,13228.0,2.83
26,10456,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,87723.0,30.3,23452.0,12486.0,28349.0,3.02
27,10457,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,70282.0,29.0,24949.0,12952.0,22570.0,3.0
28,10458,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,74859.0,29.2,24618.0,14488.0,25329.0,2.82
29,10459,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,47977.0,28.6,24461.0,12436.0,15402.0,3.07
30,10460,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,56084.0,30.0,22307.0,12828.0,19128.0,2.88
31,10461,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,51730.0,38.2,52347.0,26630.0,19330.0,2.61
32,10462,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,77369.0,35.3,45864.0,21836.0,28908.0,2.66
33,10463,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,70420.0,38.8,54258.0,30875.0,27261.0,2.49
34,10464,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,4248.0,48.7,70078.0,39454.0,2062.0,2.06
35,10465,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,44862.0,40.1,65450.0,29953.0,15572.0,2.78
36,10466,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,70609.0,35.9,44012.0,19925.0,22595.0,3.09
37,10467,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,98754.0,32.4,36048.0,18137.0,34796.0,2.79
38,10468,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71822.0,32.0,33776.0,15537.0,23680.0,2.97
39,10469,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71843.0,36.2,57776.0,22960.0,21832.0,3.17
40,10470,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,14850.0,36.2,58600.0,28734.0,5801.0,2.54
41,10471,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,22030.0,43.6,71798.0,43630.0,8980.0,2.13
42,10472,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,68898.0,30.4,30288.0,14652.0,21006.0,3.25
43,10473,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,58660.0,36.1,35866.0,19561.0,20355.0,2.87
44,10474,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,12519.0,29.1,25676.0,11410.0,3656.0,3.08
45,10475,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,43231.0,46.5,43629.0,25870.0,17992.0,2.33
47,10001,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,21966.0,34.7,81671.0,82166.0,11024.0,1.87
48,10002,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,82191.0,39.8,33218.0,26227.0,32467.0,2.48
49,10003,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,57310.0,32.3,92540.0,74189.0,27505.0,1.75
50,10004,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,2807.0,33.1,129313.0,108786.0,1430.0,1.94
51,10005,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,6822.0,28.6,124670.0,102849.0,3725.0,1.83
52,10006,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,2507.0,31.3,119274.0,101271.0,1598.0,1.56
53,10007,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,6525.0,34.0,216037.0,157713.0,2595.0,2.17
55,10009,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,62810.0,36.3,59929.0,43893.0,29565.0,2.1
56,10010,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,30670.0,35.1,97955.0,79491.0,16004.0,1.75
57,10011,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,52167.0,39.7,104238.0,110631.0,29457.0,1.7
58,10012,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,26145.0,34.1,86594.0,72914.0,13128.0,1.89
59,10013,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,26065.0,36.4,83725.0,90699.0,11048.0,2.14
60,10014,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,30597.0,36.7,108483.0,106068.0,18383.0,1.63
61,10016,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,51196.0,32.8,105324.0,87986.0,27892.0,1.78
62,10017,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,16129.0,37.2,100652.0,101239.0,9908.0,1.61
63,10018,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,7021.0,30.9,104635.0,75598.0,3537.0,1.9
64,10019,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,38394.0,38.8,84424.0,84966.0,23420.0,1.62
66,10021,NEW YORK,NY,"NEW YORK, NY",New York,40.77,-73.95,40862.0,42.7,107907.0,120077.0,23175.0,1.74
67,10022,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,29618.0,45.3,109019.0,129778.0,17647.0,1.65
68,10023,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,61315.0,41.3,103534.0,99496.0,32793.0,1.82
69,10024,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,59164.0,41.8,109956.0,97633.0,29083.0,2.0
70,10025,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,97390.0,38.2,68516.0,55843.0,43421.0,2.11
71,10026,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,37871.0,33.6,43107.0,28674.0,14324.0,2.57
72,10027,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,62617.0,30.7,37872.0,27349.0,22862.0,2.42
73,10028,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,44295.0,40.3,104638.0,107679.0,24232.0,1.82
74,10029,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,77454.0,33.5,31888.0,25270.0,28738.0,2.59
75,10030,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,28472.0,34.0,31925.0,23992.0,11590.0,2.41
76,10031,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,59092.0,33.0,37655.0,23322.0,20782.0,2.83
77,10032,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,59374.0,34.5,34568.0,19005.0,19548.0,2.98
78,10033,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,58710.0,35.9,41556.0,23403.0,19254.0,3.0
79,10034,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,41510.0,36.5,41171.0,22909.0,14967.0,2.77
82,00714,ARROYO,PR,"ARROYO, PR",,17.97,-66.06,19443.0,35.6,16350.0,8208.0,6300.0,3.08
83,00616,BAJADERO,PR,"BAJADERO, PR",,18.4,-66.66,10183.0,40.9,15342.0,8767.0,3515.0,2.89
84,00617,BARCELONETA,PR,"BARCELONETA, PR",,18.45,-66.53,24879.0,36.2,14982.0,7939.0,8217.0,3.02
85,00794,BARRANQUITAS,PR,"BARRANQUITAS, PR",,18.18,-66.3,30688.0,33.0,14986.0,7229.0,9145.0,3.32
86,00622,BOQUERON,PR,"BOQUERON, PR",,17.99,-67.15,6165.0,42.0,14281.0,8751.0,2055.0,2.98
87,00623,CABO ROJO,PR,"CABO ROJO, PR",,18.08,-67.14,44704.0,39.7,17389.0,9326.0,13763.0,3.24
88,00627,CAMUY,PR,"CAMUY, PR",,18.48,-66.84,34806.0,37.9,19527.0,9112.0,11321.0,3.06
89,00729,CANOVANAS,PR,"CANOVANAS, PR",,18.37,-65.9,54768.0,35.2,22438.0,10534.0,16509.0,3.31
90,00979,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,16248.0,46.4,37906.0,26361.0,7557.0,2.15
92,00982,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,16216.0,42.6,26148.0,13244.0,5953.0,2.72
93,00983,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,41590.0,36.8,27125.0,13949.0,14563.0,2.85
95,00985,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,36507.0,39.7,25509.0,12127.0,12685.0,2.86
97,00987,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,59324.0,36.3,31546.0,14072.0,20077.0,2.94
99,00736,CAYEY,PR,"CAYEY, PR",,18.11,-66.16,51576.0,37.7,21206.0,11711.0,17406.0,2.95
100,00739,CIDRA,PR,"CIDRA, PR",,18.17,-66.15,38673.0,37.1,24638.0,11703.0,12104.0,3.18
101,00769,COAMO,PR,"COAMO, PR",,18.08,-66.36,40026.0,35.7,17710.0,8971.0,13289.0,3.0
102,00782,COMERIO,PR,"COMERIO, PR",,18.22,-66.22,18504.0,36.4,12527.0,7026.0,5698.0,3.24
103,00783,COROZAL,PR,"COROZAL, PR",,18.34,-66.31,36466.0,35.4,16201.0,7906.0,10780.0,3.37
107,00659,HATILLO,PR,"HATILLO, PR",,18.48,-66.82,41932.0,37.9,19199.0,9428.0,13708.0,3.05
108,00660,HORMIGUEROS,PR,"HORMIGUEROS, PR",,18.14,-67.12,17151.0,42.4,21107.0,10609.0,6457.0,2.63
109,00791,HUMACAO,PR,"HUMACAO, PR",,18.15,-65.81,52760.0,38.5,20364.0,11115.0,17086.0,3.05
111,00662,ISABELA,PR,"ISABELA, PR",,18.5,-67.02,43535.0,38.4,15600.0,8124.0,14814.0,2.92
112,00664,JAYUYA,PR,"JAYUYA, PR",,18.22,-66.59,16508.0,33.9,19342.0,7841.0,4703.0,3.5
113,00795,JUANA DIAZ,PR,"JUANA DIAZ, PR",,18.05,-66.5,47580.0,35.4,17278.0,8381.0,15631.0,3.03
114,00777,JUNCOS,PR,"JUNCOS, PR",,18.22,-65.91,40892.0,34.9,18574.0,9471.0,12779.0,3.18
115,00728,PONCE,PR,"PONCE, PR",,17.98,-66.6,42692.0,36.4,18637.0,9100.0,13529.0,2.98
116,00725,CAGUAS,PR,"CAGUAS, PR",,18.23,-66.03,90206.0,37.3,20926.0,11273.0,31093.0,2.88
118,00727,CAGUAS,PR,"CAGUAS, PR",,18.23,-66.03,56972.0,38.2,29433.0,15088.0,19702.0,2.88
120,00735,CEIBA,PR,"CEIBA, PR",,18.26,-65.64,13495.0,38.7,19615.0,9433.0,4557.0,2.95
122,00638,CIALES,PR,"CIALES, PR",,18.33,-66.47,18742.0,37.2,13860.0,6526.0,5734.0,3.26
123,00780,COTO LAUREL,PR,"COTO LAUREL, PR",,18.09,-66.57,13418.0,38.1,21706.0,13433.0,4276.0,3.13
125,00646,DORADO,PR,"DORADO, PR",,18.47,-66.27,38303.0,37.5,28306.0,14374.0,12124.0,3.16
126,00647,ENSENADA,PR,"ENSENADA, PR",,17.96,-66.94,5640.0,41.3,13925.0,7384.0,1759.0,3.2
127,00738,FAJARDO,PR,"FAJARDO, PR",,18.33,-65.65,34492.0,38.4,22140.0,10894.0,12327.0,2.78
128,00650,FLORIDA,PR,"FLORIDA, PR",,18.36,-66.56,14969.0,36.2,16133.0,7038.0,4696.0,3.19
129,00652,GARROCHALES,PR,"GARROCHALES, PR",,18.45,-66.6,3461.0,40.1,12809.0,9406.0,1308.0,2.57
130,00653,GUANICA,PR,"GUANICA, PR",,17.97,-66.93,13461.0,36.6,12595.0,6465.0,3894.0,3.44
131,00784,GUAYAMA,PR,"GUAYAMA, PR",,17.97,-66.11,43746.0,35.2,17540.0,9170.0,14613.0,2.89
133,00656,GUAYANILLA,PR,"GUAYANILLA, PR",,18.02,-66.79,21172.0,36.5,15054.0,7534.0,6608.0,3.2
134,00965,GUAYNABO,PR,"GUAYNABO, PR",,18.38,-66.11,8988.0,36.0,16139.0,7683.0,3119.0,2.86
135,00966,GUAYNABO,PR,"GUAYNABO, PR",,18.38,-66.11,16371.0,42.0,52463.0,34449.0,6352.0,2.56
136,00968,GUAYNABO,PR,"GUAYNABO, PR",,18.38,-66.11,3532.0,56.4,41936.0,36866.0,1835.0,1.92
137,00969,GUAYNABO,PR,"GUAYNABO, PR",,18.38,-66.11,42756.0,39.6,50811.0,26581.0,15421.0,2.75
139,00971,GUAYNABO,PR,"GUAYNABO, PR",,18.38,-66.11,30410.0,40.7,23241.0,13223.0,10332.0,2.92
140,00778,GURABO,PR,"GURABO, PR",,18.25,-65.97,46109.0,36.0,27475.0,13892.0,14178.0,3.23
141,00667,LAJAS,PR,"LAJAS, PR",,18.04,-67.06,25797.0,39.6,14081.0,6763.0,8249.0,3.12
143,00669,LARES,PR,"LARES, PR",,18.29,-66.88,28984.0,37.7,11790.0,6600.0,9751.0,2.95
144,00670,LAS MARIAS,PR,"LAS MARIAS, PR",,18.27,-67.06,9689.0,37.7,15817.0,7016.0,3216.0,2.99
145,00771,LAS PIEDRAS,PR,"LAS PIEDRAS, PR",,18.18,-65.86,38504.0,36.0,18553.0,9367.0,11810.0,3.25
148,00934,FORT BUCHANAN,PR,"FORT BUCHANAN, PR",,18.41,-66.11,245.0,26.5,82721.0,25719.0,79.0,2.97
151,00772,LOIZA,PR,"LOIZA, PR",,18.43,-65.88,21712.0,35.5,16432.0,7622.0,6784.0,3.19
152,00773,LUQUILLO,PR,"LUQUILLO, PR",,18.37,-65.71,19918.0,38.4,18593.0,10408.0,6862.0,2.89
153,00674,MANATI,PR,"MANATI, PR",,18.43,-66.48,43848.0,37.9,18048.0,9838.0,15828.0,2.75
154,00606,MARICAO,PR,"MARICAO, PR",,18.18,-66.98,6591.0,37.3,15019.0,6383.0,1820.0,3.61
155,00707,MAUNABO,PR,"MAUNABO, PR",,18.0,-65.9,12070.0,39.1,18446.0,8134.0,4133.0,2.92
157,00680,MAYAGUEZ,PR,"MAYAGUEZ, PR",,18.2,-67.14,56003.0,38.6,15115.0,8745.0,20038.0,2.73
159,00682,MAYAGUEZ,PR,"MAYAGUEZ, PR",,18.2,-67.14,32509.0,35.0,15067.0,10869.0,11262.0,2.87
160,00715,MERCEDITA,PR,"MERCEDITA, PR",,18.0,-66.56,4315.0,41.1,14114.0,10149.0,1380.0,3.08
161,00676,MOCA,PR,"MOCA, PR",,18.39,-67.11,39916.0,35.8,14697.0,7700.0,11703.0,3.39
162,00687,MOROVIS,PR,"MOROVIS, PR",,18.32,-66.4,32609.0,33.8,14797.0,7060.0,9360.0,3.48
163,00718,NAGUABO,PR,"NAGUABO, PR",,18.21,-65.73,26767.0,34.5,17123.0,9038.0,8477.0,3.15
164,00719,NARANJITO,PR,"NARANJITO, PR",,18.3,-66.24,30793.0,35.7,16672.0,8819.0,8386.0,3.66
165,00720,OROCOVIS,PR,"OROCOVIS, PR",,18.22,-66.39,23080.0,35.1,14903.0,6687.0,6761.0,3.39
166,00723,PATILLAS,PR,"PATILLAS, PR",,18.0,-66.01,19017.0,39.4,14506.0,7851.0,6398.0,2.97
167,00624,PENUELAS,PR,"PENUELAS, PR",,18.06,-66.72,25340.0,34.2,14768.0,6761.0,7986.0,3.16
168,00716,PONCE,PR,"PONCE, PR",,17.98,-66.6,32180.0,37.6,18878.0,11773.0,11743.0,2.71
169,00717,PONCE,PR,"PONCE, PR",,17.98,-66.6,17972.0,32.9,12407.0,9120.0,7107.0,2.49
170,00730,PONCE,PR,"PONCE, PR",,17.98,-66.6,37931.0,37.0,16259.0,9768.0,13106.0,2.87
171,00731,PONCE,PR,"PONCE, PR",,17.98,-66.6,14525.0,40.9,15733.0,8126.0,4694.0,3.09
175,00740,PUERTO REAL,PR,"PUERTO REAL, PR",,18.33,-65.63,1760.0,27.7,11026.0,6968.0,590.0,2.98
176,00741,PUNTA SANTIAGO,PR,"PUNTA SANTIAGO, PR",,18.15,-65.76,5025.0,41.3,18397.0,8944.0,1634.0,3.07
177,00678,QUEBRADILLAS,PR,"QUEBRADILLAS, PR",,18.47,-66.93,27229.0,37.5,14877.0,7274.0,9261.0,2.93
178,00677,RINCON,PR,"RINCON, PR",,18.34,-67.25,15108.0,41.3,15875.0,8986.0,5655.0,2.67
